"Start Time","Request Type","Latency","Response Code"
"1696200707419","GET","17","200"
"1696200707419","GET","17","200"
"1696200707420","GET","28","200"
"1696200707420","GET","28","200"
"1696200707420","GET","28","200"
"1696200707420","GET","29","200"
"1696200707420","GET","29","200"
"1696200707421","GET","28","200"
"1696200707421","GET","28","200"
"1696200707421","GET","28","200"
"1696200707436","GET","28","200"
"1696200707436","GET","28","200"
"1696200707449","GET","27","200"
"1696200707448","GET","28","200"
"1696200707449","GET","27","200"
"1696200707449","GET","27","200"
"1696200707449","GET","27","200"
"1696200707448","GET","28","200"
"1696200707449","GET","27","200"
"1696200707448","GET","29","200"
"1696200707464","GET","19","200"
"1696200707464","GET","19","200"
"1696200707476","GET","21","200"
"1696200707476","GET","22","200"
"1696200707476","GET","22","200"
"1696200707477","GET","22","200"
"1696200707476","GET","23","200"
"1696200707476","GET","23","200"
"1696200707476","GET","24","200"
"1696200707476","GET","24","200"
"1696200707483","GET","17","200"
"1696200707483","GET","17","200"
"1696200707498","GET","14","200"
"1696200707498","GET","14","200"
"1696200707497","GET","15","200"
"1696200707499","GET","23","200"
"1696200707500","GET","22","200"
"1696200707499","GET","23","200"
"1696200707499","GET","23","200"
"1696200707500","GET","22","200"
"1696200707500","GET","22","200"
"1696200707500","GET","22","200"
"1696200707512","GET","33","200"
"1696200707522","GET","23","200"
"1696200707522","GET","23","200"
"1696200707512","GET","34","200"
"1696200707512","GET","34","200"
"1696200707522","GET","24","200"
"1696200707522","GET","24","200"
"1696200707522","GET","24","200"
"1696200707522","GET","24","200"
"1696200707522","GET","25","200"
"1696200707545","GET","16","200"
"1696200707545","GET","17","200"
"1696200707545","GET","23","200"
"1696200707547","GET","22","200"
"1696200707546","GET","23","200"
"1696200707546","GET","28","200"
"1696200707546","GET","28","200"
"1696200707546","GET","29","200"
"1696200707546","GET","29","200"
"1696200707546","GET","29","200"
"1696200707561","GET","18","200"
"1696200707562","GET","17","200"
"1696200707568","GET","22","200"
"1696200707569","GET","21","200"
"1696200707569","GET","21","200"
"1696200707575","GET","15","200"
"1696200707574","GET","21","200"
"1696200707574","GET","21","200"
"1696200707575","GET","20","200"
"1696200707575","GET","20","200"
"1696200707595","GET","22","200"
"1696200707595","GET","22","200"
"1696200707579","GET","38","200"
"1696200707595","GET","22","200"
"1696200707579","GET","38","200"
"1696200707590","GET","28","200"
"1696200707590","GET","28","200"
"1696200707590","GET","28","200"
"1696200707595","GET","23","200"
"1696200707590","GET","28","200"
"1696200707618","GET","31","200"
"1696200707617","GET","32","200"
"1696200707618","GET","31","200"
"1696200707617","GET","32","200"
"1696200707618","GET","31","200"
"1696200707618","GET","35","200"
"1696200707618","GET","35","200"
"1696200707617","GET","36","200"
"1696200707617","GET","36","200"
"1696200707617","GET","36","200"
"1696200707653","GET","22","200"
"1696200707649","GET","26","200"
"1696200707649","GET","26","200"
"1696200707653","GET","22","200"
"1696200707653","GET","22","200"
"1696200707649","GET","26","200"
"1696200707649","GET","26","200"
"1696200707653","GET","22","200"
"1696200707653","GET","23","200"
"1696200707649","GET","28","200"
"1696200707675","GET","17","200"
"1696200707675","GET","17","200"
"1696200707676","GET","16","200"
"1696200707675","GET","17","200"
"1696200707675","GET","17","200"
"1696200707675","GET","17","200"
"1696200707677","GET","16","200"
"1696200707675","GET","18","200"
"1696200707675","GET","19","200"
"1696200707675","GET","19","200"
"1696200707692","GET","25","200"
"1696200707692","GET","25","200"
"1696200707692","GET","25","200"
"1696200707692","GET","25","200"
"1696200707692","GET","25","200"
"1696200707693","GET","24","200"
"1696200707694","GET","23","200"
"1696200707693","GET","24","200"
"1696200707694","GET","23","200"
"1696200707692","GET","25","200"
"1696200707717","GET","26","200"
"1696200707717","GET","26","200"
"1696200707717","GET","26","200"
"1696200707717","GET","26","200"
"1696200707717","GET","26","200"
"1696200707717","GET","26","200"
"1696200707717","GET","26","200"
"1696200707717","GET","26","200"
"1696200707717","GET","26","200"
"1696200707717","GET","26","200"
"1696200707743","GET","15","200"
"1696200707743","GET","15","200"
"1696200707743","GET","17","200"
"1696200707743","GET","17","200"
"1696200707743","GET","17","200"
"1696200707743","GET","17","200"
"1696200707743","GET","18","200"
"1696200707743","GET","19","200"
"1696200707743","GET","21","200"
"1696200707743","GET","21","200"
"1696200707758","GET","16","200"
"1696200707760","GET","14","200"
"1696200707760","GET","14","200"
"1696200707761","GET","13","200"
"1696200707758","GET","16","200"
"1696200707760","GET","15","200"
"1696200707761","GET","14","200"
"1696200707762","GET","14","200"
"1696200707764","GET","14","200"
"1696200707764","GET","14","200"
"1696200707775","GET","12","200"
"1696200707774","GET","13","200"
"1696200707774","GET","13","200"
"1696200707774","GET","14","200"
"1696200707774","GET","14","200"
"1696200707775","GET","14","200"
"1696200707774","GET","15","200"
"1696200707776","GET","13","200"
"1696200707778","GET","14","200"
"1696200707778","GET","15","200"
"1696200707789","GET","16","200"
"1696200707788","GET","17","200"
"1696200707789","GET","16","200"
"1696200707789","GET","16","200"
"1696200707787","GET","18","200"
"1696200707787","GET","18","200"
"1696200707787","GET","18","200"
"1696200707788","GET","17","200"
"1696200707792","GET","15","200"
"1696200707793","GET","14","200"
"1696200707805","GET","23","200"
"1696200707805","GET","23","200"
"1696200707805","GET","23","200"
"1696200707805","GET","24","200"
"1696200707805","GET","24","200"
"1696200707805","GET","24","200"
"1696200707805","GET","25","200"
"1696200707805","GET","25","200"
"1696200707807","GET","23","200"
"1696200707807","GET","23","200"
"1696200707829","GET","13","200"
"1696200707828","GET","14","200"
"1696200707828","GET","14","200"
"1696200707829","GET","13","200"
"1696200707829","GET","14","200"
"1696200707828","GET","15","200"
"1696200707830","GET","15","200"
"1696200707830","GET","15","200"
"1696200707830","GET","16","200"
"1696200707830","GET","19","200"
"1696200707842","GET","20","200"
"1696200707843","GET","19","200"
"1696200707842","GET","20","200"
"1696200707842","GET","20","200"
"1696200707842","GET","20","200"
"1696200707843","GET","19","200"
"1696200707845","GET","18","200"
"1696200707845","GET","19","200"
"1696200707846","GET","18","200"
"1696200707849","GET","20","200"
"1696200707863","GET","21","200"
"1696200707862","GET","22","200"
"1696200707862","GET","23","200"
"1696200707864","GET","21","200"
"1696200707862","GET","23","200"
"1696200707864","GET","21","200"
"1696200707862","GET","23","200"
"1696200707862","GET","23","200"
"1696200707862","GET","23","200"
"1696200707869","GET","22","200"
"1696200707885","GET","17","200"
"1696200707885","GET","17","200"
"1696200707884","GET","19","200"
"1696200707885","GET","18","200"
"1696200707885","GET","18","200"
"1696200707884","GET","19","200"
"1696200707885","GET","18","200"
"1696200707885","GET","18","200"
"1696200707885","GET","18","200"
"1696200707891","GET","14","200"
"1696200707903","GET","23","200"
"1696200707903","GET","23","200"
"1696200707902","GET","24","200"
"1696200707903","GET","25","200"
"1696200707903","GET","25","200"
"1696200707903","GET","25","200"
"1696200707903","GET","25","200"
"1696200707905","GET","24","200"
"1696200707903","GET","26","200"
"1696200707902","GET","27","200"
"1696200707926","GET","19","200"
"1696200707928","GET","17","200"
"1696200707929","GET","16","200"
"1696200707929","GET","16","200"
"1696200707926","GET","20","200"
"1696200707926","GET","20","200"
"1696200707928","GET","18","200"
"1696200707928","GET","18","200"
"1696200707928","GET","18","200"
"1696200707929","GET","18","200"
"1696200707945","GET","18","200"
"1696200707945","GET","18","200"
"1696200707945","GET","22","200"
"1696200707946","GET","22","200"
"1696200707945","GET","24","200"
"1696200707946","GET","25","200"
"1696200707946","GET","25","200"
"1696200707947","GET","24","200"
"1696200707946","GET","25","200"
"1696200707946","GET","26","200"
"1696200707963","GET","16","200"
"1696200707963","GET","16","200"
"1696200707968","GET","15","200"
"1696200707967","GET","16","200"
"1696200707969","GET","15","200"
"1696200707979","GET","14","200"
"1696200707979","GET","14","200"
"1696200707971","GET","23","200"
"1696200707971","GET","23","200"
"1696200707971","GET","24","200"
"1696200707971","GET","24","200"
"1696200707972","GET","23","200"
"1696200707984","GET","22","200"
"1696200707983","GET","24","200"
"1696200707983","GET","24","200"
"1696200707993","GET","20","200"
"1696200707994","GET","19","200"
"1696200707993","GET","20","200"
"1696200707995","GET","26","200"
"1696200707995","GET","26","200"
"1696200707995","GET","26","200"
"1696200707994","GET","27","200"
"1696200708006","GET","16","200"
"1696200708007","GET","15","200"
"1696200708007","GET","15","200"
"1696200708013","GET","17","200"
"1696200708013","GET","18","200"
"1696200708013","GET","18","200"
"1696200708022","GET","12","200"
"1696200708022","GET","12","200"
"1696200708022","GET","13","200"
"1696200708021","GET","14","200"
"1696200708021","GET","15","200"
"1696200708021","GET","15","200"
"1696200708021","GET","15","200"
"1696200708030","GET","13","200"
"1696200708031","GET","13","200"
"1696200708031","GET","13","200"
"1696200708034","GET","17","200"
"1696200708035","GET","16","200"
"1696200708034","GET","17","200"
"1696200708036","GET","15","200"
"1696200708035","GET","16","200"
"1696200708036","GET","15","200"
"1696200708036","GET","15","200"
"1696200708043","GET","12","200"
"1696200708044","GET","12","200"
"1696200708044","GET","12","200"
"1696200708051","GET","17","200"
"1696200708051","GET","17","200"
"1696200708051","GET","17","200"
"1696200708051","GET","17","200"
"1696200708051","GET","17","200"
"1696200708055","GET","13","200"
"1696200708051","GET","17","200"
"1696200708051","GET","17","200"
"1696200708056","GET","14","200"
"1696200708056","GET","14","200"
"1696200708068","GET","21","200"
"1696200708068","GET","21","200"
"1696200708068","GET","21","200"
"1696200708068","GET","23","200"
"1696200708068","GET","23","200"
"1696200708068","GET","25","200"
"1696200708068","GET","25","200"
"1696200708068","GET","25","200"
"1696200708070","GET","23","200"
"1696200708070","GET","23","200"
"1696200708089","GET","14","200"
"1696200708089","GET","15","200"
"1696200708089","GET","15","200"
"1696200708091","GET","13","200"
"1696200708091","GET","15","200"
"1696200708093","GET","14","200"
"1696200708093","GET","14","200"
"1696200708093","GET","15","200"
"1696200708093","GET","16","200"
"1696200708093","GET","16","200"
"1696200708103","GET","16","200"
"1696200708104","GET","15","200"
"1696200708104","GET","15","200"
"1696200708104","GET","16","200"
"1696200708107","GET","21","200"
"1696200708106","GET","22","200"
"1696200708109","GET","19","200"
