"Start Time","Request Type","Latency","Response Code"
"1696739082762","GET","16","200"
"1696739082764","GET","14","200"
"1696739082771","GET","13","200"
"1696739082774","GET","15","200"
"1696739082774","GET","15","200"
"1696739082774","GET","16","200"
"1696739082774","GET","16","200"
"1696739082777","GET","17","200"
"1696739082777","GET","17","200"
"1696739082784","GET","14","200"
"1696739082778","GET","20","200"
"1696739082778","GET","20","200"
"1696739082778","GET","21","200"
"1696739082789","GET","13","200"
"1696739082789","GET","13","200"
"1696739082790","GET","15","200"
"1696739082790","GET","15","200"
"1696739082794","GET","20","200"
"1696739082798","GET","16","200"
"1696739082794","GET","20","200"
"1696739082798","GET","16","200"
"1696739082798","GET","16","200"
"1696739082802","GET","14","200"
"1696739082802","GET","14","200"
"1696739082799","GET","18","200"
"1696739082805","GET","18","200"
"1696739082805","GET","18","200"
"1696739082814","GET","12","200"
"1696739082814","GET","14","200"
"1696739082814","GET","15","200"
"1696739082814","GET","15","200"
"1696739082816","GET","13","200"
"1696739082814","GET","15","200"
"1696739082816","GET","13","200"
"1696739082817","GET","17","200"
"1696739082823","GET","15","200"
"1696739082823","GET","15","200"
"1696739082826","GET","12","200"
"1696739082828","GET","15","200"
"1696739082829","GET","14","200"
"1696739082829","GET","16","200"
"1696739082829","GET","16","200"
"1696739082829","GET","16","200"
"1696739082829","GET","16","200"
"1696739082834","GET","13","200"
"1696739082838","GET","12","200"
"1696739082838","GET","14","200"
"1696739082838","GET","14","200"
"1696739082843","GET","15","200"
"1696739082843","GET","15","200"
"1696739082845","GET","18","200"
"1696739082845","GET","21","200"
"1696739082845","GET","21","200"
"1696739082845","GET","21","200"
"1696739082850","GET","16","200"
"1696739082847","GET","19","200"
"1696739082852","GET","15","200"
"1696739082852","GET","15","200"
"1696739082858","GET","13","200"
"1696739082858","GET","14","200"
"1696739082863","GET","13","200"
"1696739082866","GET","14","200"
"1696739082866","GET","14","200"
"1696739082867","GET","13","200"
"1696739082867","GET","13","200"
"1696739082866","GET","15","200"
