"Start Time","Request Type","Latency","Response Code"
"1696199419553","GET","19","200"
"1696199419551","GET","21","200"
"1696199419552","GET","21","200"
"1696199419553","GET","20","200"
"1696199419552","GET","22","200"
"1696199419572","GET","14","200"
"1696199419573","GET","13","200"
"1696199419572","GET","14","200"
"1696199419574","GET","12","200"
"1696199419554","GET","33","200"
"1696199419554","GET","33","200"
"1696199419554","GET","33","200"
"1696199419553","GET","34","200"
"1696199419573","GET","15","200"
"1696199419554","GET","40","200"
"1696199419587","GET","13","200"
"1696199419587","GET","13","200"
"1696199419586","GET","14","200"
"1696199419586","GET","14","200"
"1696199419586","GET","15","200"
"1696199419587","GET","14","200"
"1696199419586","GET","15","200"
"1696199419587","GET","19","200"
"1696199419588","GET","18","200"
"1696199419600","GET","15","200"
"1696199419594","GET","21","200"
"1696199419600","GET","15","200"
"1696199419600","GET","15","200"
"1696199419601","GET","15","200"
"1696199419600","GET","16","200"
"1696199419601","GET","21","200"
"1696199419601","GET","21","200"
"1696199419606","GET","16","200"
"1696199419606","GET","17","200"
"1696199419615","GET","16","200"
"1696199419615","GET","19","200"
"1696199419615","GET","19","200"
"1696199419616","GET","19","200"
"1696199419616","GET","19","200"
"1696199419615","GET","20","200"
"1696199419623","GET","13","200"
"1696199419622","GET","16","200"
"1696199419622","GET","16","200"
"1696199419622","GET","16","200"
"1696199419631","GET","13","200"
"1696199419634","GET","15","200"
"1696199419635","GET","14","200"
"1696199419635","GET","14","200"
"1696199419636","GET","13","200"
"1696199419634","GET","15","200"
"1696199419638","GET","13","200"
"1696199419638","GET","13","200"
"1696199419638","GET","14","200"
"1696199419644","GET","15","200"
"1696199419635","GET","24","200"
"1696199419649","GET","13","200"
"1696199419649","GET","13","200"
"1696199419649","GET","13","200"
"1696199419649","GET","13","200"
"1696199419649","GET","14","200"
"1696199419651","GET","14","200"
"1696199419651","GET","14","200"
"1696199419652","GET","15","200"
"1696199419659","GET","13","200"
"1696199419659","GET","14","200"
"1696199419662","GET","12","200"
"1696199419662","GET","14","200"
"1696199419662","GET","14","200"
"1696199419662","GET","14","200"
"1696199419663","GET","16","200"
"1696199419665","GET","15","200"
"1696199419665","GET","15","200"
"1696199419667","GET","15","200"
"1696199419672","GET","13","200"
"1696199419673","GET","18","200"
"1696199419676","GET","44","200"
"1696199419691","GET","29","200"
